Image	human_evaluation
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_0.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_1.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_10.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_11.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_12.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_13.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_14.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_15.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_16.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_17.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_18.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_19.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_2.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_20.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_21.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_22.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_23.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_24.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_25.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_26.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_27.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_28.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_29.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_3.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_30.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_31.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_32.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_33.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_34.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_35.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_36.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_37.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_38.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_39.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_4.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_40.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_41.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_42.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_43.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_44.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_45.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_46.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_47.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_48.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_49.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_5.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_50.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_51.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_52.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_53.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_54.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_55.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_56.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_57.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_58.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_59.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_6.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_60.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_61.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_62.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_63.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_64.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_65.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_66.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_67.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_68.jpg	True
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_69.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_7.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_70.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_71.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_72.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_73.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_8.jpg	False
24-hour-home-care---caregiver-training-turning-and-positioning-in-a-bed_frame_9.jpg	False
Assisting with Positioning a Patient in Bed - Ashraf Z Qotmosh (720p, h264, youtube)_frame_0.jpg	False
Assisting with Positioning a Patient in Bed - Ashraf Z Qotmosh (720p, h264, youtube)_frame_1.jpg	False
Assisting with Positioning a Patient in Bed - Ashraf Z Qotmosh (720p, h264, youtube)_frame_10.jpg	False
Assisting with Positioning a Patient in Bed - Ashraf Z Qotmosh (720p, h264, youtube)_frame_100.jpg	False
Assisting with Positioning a Patient in Bed - Ashraf Z Qotmosh (720p, h264, youtube)_frame_101.jpg	True
Assisting with Positioning a Patient in Bed - Ashraf Z Qotmosh (720p, h264, youtube)_frame_102.jpg	True
Assisting with Positioning a Patient in Bed - Ashraf Z Qotmosh (720p, h264, youtube)_frame_103.jpg	True
Assisting with Positioning a Patient in Bed - Ashraf Z Qotmosh (720p, h264, youtube)_frame_104.jpg	True
Assisting with Positioning a Patient in Bed - Ashraf Z Qotmosh (720p, h264, youtube)_frame_105.jpg	False
